process_step,Variation,age_group,avg_step_duration_seconds
confirm,Control,<30,88.78953626634959
confirm,Control,30–39,98.81361892583121
confirm,Control,40–49,119.84432809773124
confirm,Control,50–59,133.71443708609272
confirm,Control,60–69,165.97391304347826
confirm,Control,70–79,194.9187165775401
confirm,Control,80+,206.316091954023
confirm,Test,<30,96.64970145009951
confirm,Test,30–39,95.47562371252003
confirm,Test,40–49,108.9019344438474
confirm,Test,50–59,139.2750573036049
confirm,Test,60–69,170.72394881170018
confirm,Test,70–79,193.96587301587303
confirm,Test,80+,193.47602739726028
start,Control,<30,124.17042939353696
start,Control,30–39,123.16122082585278
start,Control,40–49,168.35644310474754
start,Control,50–59,164.11613406079502
start,Control,60–69,164.76671289875173
start,Control,70–79,177.45447705041386
start,Control,80+,162.98187311178248
start,Test,<30,126.47676837725382
start,Test,30–39,131.79662423907027
start,Test,40–49,151.10570005534035
start,Test,50–59,149.25849762066622
start,Test,60–69,156.62193095809488
start,Test,70–79,182.8992684299381
start,Test,80+,153.2340425531915
step_1,Control,<30,29.697157267308572
step_1,Control,30–39,34.593635486981675
step_1,Control,40–49,37.48498031903874
step_1,Control,50–59,45.53220648698036
step_1,Control,60–69,52.142279845091764
step_1,Control,70–79,66.15290669272106
step_1,Control,80+,65.53932584269663
step_1,Test,<30,31.161000179888468
step_1,Test,30–39,30.739241265557055
step_1,Test,40–49,33.76131687242798
step_1,Test,50–59,39.101942305482126
step_1,Test,60–69,44.34618217530076
step_1,Test,70–79,50.809257185516984
step_1,Test,80+,45.43069306930693
step_2,Control,<30,24.26086956521739
step_2,Control,30–39,28.077482876712327
step_2,Control,40–49,34.75361653272101
step_2,Control,50–59,44.883597883597886
step_2,Control,60–69,49.07524752475248
step_2,Control,70–79,57.26813655761024
step_2,Control,80+,67.81428571428572
step_2,Test,<30,38.98378254910918
step_2,Test,30–39,38.70398338682273
step_2,Test,40–49,38.680789798436855
step_2,Test,50–59,51.74283293320153
step_2,Test,60–69,56.66799265605875
step_2,Test,70–79,65.04033379694019
step_2,Test,80+,84.8649193548387
step_3,Control,<30,85.31499429874573
step_3,Control,30–39,92.84223664503246
step_3,Control,40–49,104.78492893537141
step_3,Control,50–59,110.91185112634672
step_3,Control,60–69,75.60493827160494
step_3,Control,70–79,73.74145616641901
step_3,Control,80+,84.42574257425743
step_3,Test,<30,92.35365853658537
step_3,Test,30–39,93.17980022197558
step_3,Test,40–49,109.72405251424325
step_3,Test,50–59,111.91771708683473
step_3,Test,60–69,82.81814901677792
step_3,Test,70–79,82.87806205770278
step_3,Test,80+,92.08994708994709
